run_num,alg,dataset,te,de,wu,vu
1,RR,Even,6.27,23.00,23.35,48.35
1,KM,Even,16.28,94.89,47.59,99.27
1,RR-GA,Even,17.00,103.58,48.43,99.63
1,KM-GA,Even,17.10,104.82,48.09,99.55
2,RR,Even,6.61,24.26,24.59,50.99
2,KM,Even,16.20,92.80,47.77,99.83
2,RR-GA,Even,15.86,88.93,48.41,99.61
2,KM-GA,Even,16.88,100.68,47.83,99.65
3,RR,Even,6.58,23.54,24.57,50.75
3,KM,Even,15.84,86.55,47.82,99.75
3,RR-GA,Even,15.95,87.73,48.67,99.71
3,KM-GA,Even,17.46,105.54,48.05,99.15
4,RR,Even,6.48,23.73,24.13,49.91
4,KM,Even,15.68,87.29,47.82,99.15
4,RR-GA,Even,16.90,101.25,48.52,99.60
4,KM-GA,Even,17.13,104.18,47.28,99.28
5,RR,Even,6.67,24.89,24.80,51.15
5,KM,Even,16.15,93.50,47.21,98.04
5,RR-GA,Even,17.14,105.44,48.54,99.61
5,KM-GA,Even,17.64,112.09,47.31,99.35